date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,score,basket,average-5-periods-return,5-periods-winning,average-10-periods-return,10-periods-winning,average-20-periods-return,20-periods-winning
2000-03-22,sh.600000,1.9648926,2.01424995,1.9492236,1.9852623,1.958625,4522034,114100496.0,2,1.130508,1,1.360001,0,-0.09115116676380411,2.0,-0.006314127861089203,false,-0.007498026835043414,false,-0.0015785319652723562,false
2000-03-23,sh.600000,1.98604575,2.0118996,1.974294,1.99858095,1.9852623,5887205,149693415.0,2,1.471801,1,0.670876,0,-0.00690754415461186,2.0,-0.005096040768326149,false,-0.00784006272050175,false,-0.007448059584476696,false
2000-03-24,sh.600000,2.03775345,2.11923225,1.99858095,1.99858095,1.99858095,21856415,575302201.0,2,5.464104,1,0.0,0,0.12736743899487443,3.0,-0.011368090944727571,false,0.007056056448451642,true,-0.014112112896903173,false
2000-03-27,sh.600000,2.01424995,2.0573397,1.989963,2.0291355,1.99858095,6161135,158738686.0,2,1.540284,1,1.52881,0,0.2769314378125752,4.0,-0.025482625482625587,false,-0.013899613899614027,false,-0.04169884169884186,false
2000-03-28,sh.600000,2.03932035,2.0604735,1.97821125,1.9977975,2.0291355,7074201,180806578.0,2,1.76855,1,-1.5444,0,0.11580302243266725,3.0,-0.0235294117647058,false,0.0023529411764704466,true,-0.025882352941176467,false
2000-03-29,sh.600000,2.00171475,2.0134665,1.9633257,1.9727271,1.9977975,7495200,189202622.0,2,1.8738,1,-1.254901,0,-0.024912121171260508,2.0,-0.0011914217633042234,false,0.010722795869737789,true,-0.00714853057982523,false
2000-03-30,sh.600000,1.97821125,2.0150334,1.97821125,1.9883961,1.9727271,4400762,111744655.0,2,1.10019,1,0.794277,0,0.07074638035822657,3.0,-0.002758077226162392,false,0.008668242710795804,true,-0.025216706067769934,false
2000-03-31,sh.600000,1.99388025,2.0040651,1.9664595,1.9758609,1.9883961,4320394,109090852.0,2,1.080099,1,-0.630417,0,-0.15281172007951788,2.0,0.018636003172085802,true,0.02418715305313257,true,-0.008723235527359208,false
2000-04-03,sh.600000,1.974294,1.9977975,1.9664595,1.9774278,1.9758609,3498400,88393318.0,2,0.8746,1,0.079304,0,-0.13948695705831612,2.0,0.011885895404120328,true,0.002377179080824021,true,-0.032091917591125285,false
2000-04-04,sh.600000,1.974294,1.974294,1.9476567,1.9507905,1.9774278,4307082,107536323.0,2,1.076771,1,-1.347069,0,-0.2768416449258086,2.0,0.026506024096385472,true,0.016867469879517927,true,-0.03614457831325313,false
2000-04-05,sh.600000,1.9507905,1.99701405,1.9492236,1.97037675,1.9507905,3427019,85948606.0,2,0.856755,1,1.004016,0,-0.17315010283524038,2.0,0.011928429423459175,true,0.005964214711729587,true,-0.04970178926441349,false
2000-04-06,sh.600000,1.97037675,1.98917955,1.9633257,1.98291195,1.97037675,2927597,73823696.0,2,0.731899,1,0.636182,0,-0.09301957244468785,2.0,0.011457921770051227,true,0.00039510075069149053,true,-0.05412880284472543,false
2000-04-07,sh.600000,1.9915299,2.0291355,1.9883961,2.01268305,1.98291195,6006321,154300910.0,2,1.50158,1,1.501387,0,0.0958975288514007,3.0,0.005449591280654031,true,-0.02101985208252244,false,-0.10237446477228507,false
2000-04-10,sh.600000,2.0150334,2.0291355,1.99231335,2.0009313,2.01268305,3327829,85045430.0,2,0.831957,1,-0.583883,0,0.022596202594203398,2.0,-0.009397024275646038,false,-0.028191072826938113,false,-0.09162098668754892,false
2000-04-11,sh.600000,2.005632,2.0432376,1.989963,2.0024982,2.0009313,6213920,159922397.0,2,1.55348,1,0.078303,0,0.03390282337398046,2.0,-0.009389671361502261,false,-0.028169014084506894,false,-0.0942879499217526,false
2000-04-12,sh.600000,2.0071989,2.03697,1.98604575,1.99388025,2.0024982,4634405,119159205.0,2,1.158601,1,-0.430355,0,-0.025136470734504562,2.0,-0.005893909626718985,false,-0.017681728880157066,false,-0.08644400785854611,false
2000-04-13,sh.600000,1.99388025,2.0275686,1.989963,2.005632,1.99388025,4206547,107735819.0,2,1.051637,1,0.589389,0,0.05159615125614633,3.0,-0.010937499999999933,false,-0.03359374999999998,false,-0.08203125,false
2000-04-14,sh.600000,2.0118996,2.052639,2.005632,2.02365135,2.005632,11250459,291591767.0,2,2.812615,1,0.898436,0,0.2721315706556275,4.0,-0.02632597754548982,false,-0.03213317847464192,false,-0.08284939992257079,false
2000-04-17,sh.600000,2.03697,2.052639,1.9727271,1.9821285,2.02365135,7976887,204556962.0,2,1.994222,1,-2.05188,0,0.04154417151727152,3.0,-0.018972332015810278,false,-0.03438735177865615,false,-0.0723320158102767,false
2000-04-18,sh.600000,1.98291195,1.99388025,1.95940845,1.9836954,1.9821285,3894519,98184097.0,2,0.97363,1,0.079053,0,0.05756917570412062,3.0,-0.018957345971563955,false,-0.05213270142180093,false,-0.06674565560821488,false
2000-04-19,sh.600000,1.99388025,2.0197341,1.97351055,1.9821285,1.9836954,2755574,69942881.0,2,0.688893,1,-0.078991,0,0.04762279167946683,3.0,-0.011857707509881354,false,-0.055335968379446654,false,-0.03992094861660078,false
2000-04-20,sh.600000,1.9821285,1.9977975,1.97351055,1.9836954,1.9821285,3636678,91864727.0,2,0.90917,1,0.079053,0,0.06375293568202425,3.0,-0.02290679304897314,false,-0.0545023696682464,false,-0.056082148499210116,false
2000-04-21,sh.600000,1.958625,1.99701405,1.958625,1.97037675,1.9836954,3965515,99685689.0,2,0.991379,1,-0.671406,0,-0.15928769161792872,2.0,-0.005964214711729587,false,-0.08310139165009944,false,-0.05606361829025852,false
2000-04-24,sh.600000,1.97037675,1.974294,1.93903875,1.9445229,1.97037675,5913794,147290986.0,2,1.478449,1,-1.312127,0,-0.27608667457061065,2.0,-0.015713134568896003,false,-0.06526994359387583,false,-0.05721192586623691,false
2000-04-25,sh.600000,1.94373945,1.96567605,1.9413891,1.9460898,1.9445229,2309521,57489169.0,2,0.57738,1,0.080582,0,-0.2724657468246514,2.0,-0.033816425120772986,false,-0.06803542673107887,false,-0.05595813204508859,false
2000-04-26,sh.600000,1.9492236,2.00328165,1.942956,1.958625,1.9460898,3559390,89234644.0,2,0.889847,1,0.644122,0,-0.19318781065745333,2.0,-0.04400000000000004,false,-0.07000000000000006,false,-0.06240000000000001,false
2000-04-27,sh.600000,1.958625,1.974294,1.9335546,1.9382553,1.958625,3284172,81550296.0,2,0.821043,1,-1.040001,0,-0.28448864760094833,2.0,-0.03233629749393696,false,-0.050121261115602334,false,-0.04203718674211798,false
2000-04-28,sh.600000,1.9382553,1.958625,1.93120425,1.958625,1.9382553,3210849,79526614.0,2,0.802712,1,1.050931,0,-0.2314436551811786,2.0,-0.0776,false,-0.05240000000000011,false,-0.05400000000000005,false
2000-05-08,sh.600000,1.958625,1.958625,1.958625,1.958625,1.958625,0,0.0,2,,0,0.0,0,,,,,,,,
2000-05-09,sh.600000,1.9507905,1.9507905,1.90770075,1.91396835,1.958625,2606070,63808332.0,2,0.651517,1,-2.279999,0,-0.37355282919321753,1.0,-0.05034793286942285,false,-0.039295947605403225,false,-0.024150634465820664,false
2000-05-10,sh.600000,1.911618,1.92023595,1.8787131,1.88028,1.91396835,5873823,141397664.0,2,1.468456,1,-1.760132,0,-0.3934689201140447,0.0,-0.03541666666666665,false,-0.015416666666666634,false,-0.0033333333333332993,false
2000-05-11,sh.600000,1.88028,1.90143315,1.864611,1.8724455,1.88028,3388286,81370247.0,2,0.847071,1,-0.416668,0,-0.40683304012426397,0.0,-0.027196652719665315,false,0.016317991631799034,true,0.0004184100418409553,true
2000-05-12,sh.600000,1.87479585,1.8881145,1.86852825,1.8755793,1.8724455,2969271,71131310.0,2,0.742318,1,0.167368,0,-0.41621459820545753,0.0,-0.018379281537176384,false,-0.001670843776106934,false,-0.016290726817042578,false
2000-05-15,sh.600000,1.87636275,1.88028,1.80271845,1.8066357,1.8755793,4078342,94939549.0,2,1.019586,1,-3.675861,0,-0.42403440830061684,0.0,0.02732003469210742,true,0.02948829141370335,true,0.024284475281873386,true
2000-05-16,sh.600000,1.80741915,1.83719025,1.8066357,1.817604,1.8066357,2071322,48081624.0,2,0.51783,1,0.607117,0,-0.42424731517074116,0.0,0.01163793103448274,true,0.008620689655172376,true,0.02758620689655178,true
2000-05-17,sh.600000,1.82152125,1.82935575,1.8066357,1.81368675,1.817604,2133628,49378357.0,2,0.533407,1,-0.215522,0,-0.42461043525801934,0.0,0.020734341252699684,true,0.01295896328293722,true,0.04449244060475155,true
2000-05-18,sh.600000,1.81368675,1.8254385,1.801935,1.82152125,1.81368675,2946688,68124880.0,2,0.736672,1,0.431967,0,-0.4257786671209673,0.0,0.044731182795698876,true,0.008172043010752805,true,0.04774193548387107,true
2000-05-19,sh.600000,1.8254385,1.85599305,1.82152125,1.8411075,1.82152125,2792052,65444252.0,2,0.698013,1,1.075269,0,-0.42652681518761965,0.0,0.017021276595744705,true,0.008510638297872353,true,0.020000000000000018,true
2000-05-22,sh.600000,1.8411075,1.8708786,1.8254385,1.85599305,1.8411075,3608195,84995622.0,2,0.902049,1,0.808513,0,-0.4281662306423976,0.0,0.0021105951878430673,true,-0.0016884761502743428,false,0.004643309413254526,true
2000-05-23,sh.600000,1.86852825,1.8771462,1.8254385,1.83875715,1.85599305,2887979,67951037.0,2,0.721995,1,-0.928667,0,-0.42910217474866513,0.0,-0.0029825308904984915,false,0.01576480613549225,true,0.007669365146996121,true
2000-05-24,sh.600000,1.8411075,1.864611,1.8254385,1.85129235,1.83875715,3456480,81374021.0,2,0.86412,1,0.681721,0,-0.43272191230203705,0.0,-0.007617435463394107,false,0.012272534913245758,true,0.0029623360135420107,true
2000-05-25,sh.600000,1.8567765,1.9194525,1.85285925,1.90300005,1.85129235,7604321,183401585.0,2,1.90108,1,2.793067,0,-0.3290054867144631,1.0,-0.034993824619184766,false,-0.015644298065047413,false,-0.030876904075751277,false
2000-05-26,sh.600000,1.90613385,1.91553525,1.86852825,1.8724455,1.90300005,3614987,86693231.0,2,0.903747,1,-1.605604,0,-0.3424816729984708,1.0,-0.008368200836819994,false,-0.014644351464435101,false,-0.014225941422594146,false
2000-05-29,sh.600000,1.8724455,1.8787131,1.848942,1.8599103,1.8724455,3147735,74592064.0,2,0.786934,1,-0.669455,0,-0.3422233371224807,1.0,-0.0037910699241785473,false,-0.005054759898904804,false,-0.00716090985678175,false
2000-05-30,sh.600000,1.8599103,1.87636275,1.82935575,1.833273,1.8599103,2970693,70035539.0,2,0.742673,1,-1.432183,0,-0.34229343775277116,1.0,0.01880341880341896,true,0.01880341880341896,true,0.0008547008547008517,true
2000-05-31,sh.600000,1.833273,1.8708786,1.8254385,1.83719025,1.833273,3597344,84459834.0,2,0.899336,1,0.21368,0,-0.34248126588523237,1.0,0.020042643923241066,true,0.031130063965884913,true,-0.0017057569296374808,false
2000-06-01,sh.600000,1.8411075,1.8552096,1.8301392,1.8364068,1.83719025,2270325,53251012.0,2,0.567581,1,-0.042645,0,-0.40424173993386764,0.0,0.020051194539249195,true,0.03924914675767921,true,-0.005972696245733822,false
2000-06-02,sh.600000,1.8411075,1.87792965,1.833273,1.8567765,1.8364068,3047212,72152781.0,2,0.761803,1,1.109216,0,-0.34317307343171627,1.0,-0.006329113924050556,false,0.0113924050632912,true,-0.006329113924050556,false
2000-06-05,sh.600000,1.864611,1.87792965,1.84815855,1.85285925,1.8567765,3602826,85402416.0,2,0.900706,1,-0.210975,0,-0.342793275627803,1.0,-0.0012684989429175841,false,0.00634249471458781,true,-0.017758985200845734,false
2000-06-06,sh.600000,1.8536427,1.8787131,1.85285925,1.8677448,1.85285925,2626991,62564701.0,2,0.656748,1,0.803385,0,-0.3426044391511723,1.0,0.0,false,-0.007969798657718186,false,-0.024748322147651103,false
2000-06-07,sh.600000,1.8724455,1.8943821,1.8583434,1.8740124,1.8677448,3507674,83916776.0,2,0.876919,1,0.33557,0,-0.34235015298662014,1.0,0.010869565217391353,true,-0.009197324414715657,false,-0.02926421404682278,false
2000-06-08,sh.600000,1.87949655,1.9069173,1.86539445,1.87322895,1.8740124,4210126,101488513.0,2,1.052531,1,-0.041807,0,-0.3420418312558944,1.0,0.01882057716436636,true,-0.015474696779590125,false,-0.028429813664795134,false
2000-06-09,sh.600000,1.88028,1.89986625,1.84189095,1.84502475,1.87322895,2450894,58230845.0,2,0.612723,1,-1.505649,0,-0.34181447011241267,1.0,0.017834394904458595,true,0.000424628450106157,true,-0.0063121104472988465,false
2000-06-12,sh.600000,1.8411075,1.8583434,1.83248955,1.8505089,1.84502475,1957284,45933934.0,2,0.489321,1,0.297247,0,-0.3425396074123127,1.0,0.007620660457239747,true,-0.0021168501270110163,false,-0.01522275845309351,false
2000-06-13,sh.600000,1.8552096,1.88028,1.8536427,1.8677448,1.8505089,1787546,42589850.0,2,0.446886,1,0.931411,0,-0.34237384485138844,1.0,-0.007969798657718186,false,-0.017617449664429574,false,-0.009533690041594545,false
2000-06-14,sh.600000,1.88028,1.93433805,1.87636275,1.8943821,1.8677448,9515624,232075370.0,2,2.378906,1,1.426175,0,-0.24773911513213237,2.0,-0.01985111662531014,false,-0.03184449958643509,false,-0.01763324305059688,false
2000-06-15,sh.600000,1.9037835,1.92336975,1.89203175,1.9084842,1.8943821,3013908,73399141.0,2,0.753477,1,0.744418,0,-0.2326413739449225,2.0,-0.0336617405582923,false,-0.04351395730706076,false,-0.03150301165710456,false
2000-06-16,sh.600000,1.91553525,1.9194525,1.8708786,1.87792965,1.9084842,2561170,61776775.0,2,0.640293,1,-1.60099,0,-0.34078600776813145,1.0,-0.017104714226115925,false,-0.017521902377972465,false,-0.009026775843280377,false
2000-06-19,sh.600000,1.88028,1.89203175,1.8552096,1.864611,1.87792965,1830811,43529667.0,2,0.457703,1,-0.70922,0,-0.3100796326299707,1.0,-0.009663865546218564,false,-0.0239495798319328,false,-0.010406460114200766,false
2000-06-20,sh.600000,1.864611,1.86696135,1.84972545,1.85285925,1.864611,1388343,32869450.0,2,0.347086,1,-0.630251,0,-0.308759545415025,1.0,-0.009725158562367886,false,-0.016913319238900715,false,-0.0062578957360091,false
2000-06-21,sh.600000,1.848942,1.86069375,1.8411075,1.8567765,1.85285925,1567963,36978461.0,2,0.391991,1,0.211421,0,-0.34060868669072875,1.0,-0.012236286919831252,false,-0.020253164556962022,false,0.0069343563966906,true
2000-06-22,sh.600000,1.86069375,1.864611,1.84189095,1.8442413,1.8567765,1781752,42017241.0,2,0.445438,1,-0.675105,0,-0.3405859431621751,1.0,-0.010195412064570974,false,-0.013158744465813665,false,0.002661500965193797,true
2000-06-23,sh.600000,1.8442413,1.85442615,1.833273,1.8458082,1.8442413,2454181,57647819.0,2,0.613545,1,0.084956,0,-0.34153694373476945,1.0,-0.0004244482173174635,false,-0.006733879500589457,false,0.005655246303489125,true
2000-06-26,sh.600000,1.84659165,1.85599305,1.83875715,1.84659165,1.8458082,2413807,56816674.0,2,0.603452,1,0.042446,0,-0.341507112130004,1.0,-0.014425116673737803,false,-0.013133710422658873,false,-0.004593110772487141,false
2000-06-27,sh.600000,1.848942,1.85442615,1.8317061,1.8348399,1.84659165,2771123,64999890.0,2,0.692781,1,-0.636401,0,-0.34170271948907904,1.0,-0.0072587532023911105,false,0.008228728838957533,true,0.010807318938290011,true
2000-06-28,sh.600000,1.83562335,1.8567765,1.82935575,1.83405645,1.8348399,2431564,56986819.0,2,0.607891,1,-0.0427,0,-0.34187548778224586,1.0,-0.008116189662537354,false,0.014678692141673055,true,0.005649771576005769,true
2000-06-29,sh.600000,1.83719025,1.848942,1.81995435,1.8254385,1.83405645,3482860,81188427.0,2,0.870715,1,-0.469887,0,-0.34220090834578815,1.0,-0.0029938559967919165,false,0.012557366353344701,true,0.05964301180236964,true
2000-06-30,sh.600000,1.8254385,1.8567765,1.82152125,1.84502475,1.8254385,2271340,53155958.0,2,0.567835,1,1.072961,0,-0.342259646133729,1.0,-0.0063121104472988465,false,0.00864663197607518,true,0.02531494496212039,true
2000-07-03,sh.600000,1.8411075,1.8411075,1.817604,1.81995435,1.84502475,2027515,47119215.0,2,0.506879,1,-1.35881,0,-0.34250176839377605,1.0,0.0013103075909568496,true,0.013875430446923076,true,0.042038636848226396,true
2000-07-04,sh.600000,1.817604,1.8254385,1.8113364,1.82152125,1.81995435,1515169,35139353.0,2,0.378792,1,0.086098,0,-0.3425190562172845,1.0,0.015600723845522024,true,0.01083874261691986,true,0.04114225952620654,true
2000-07-05,sh.600000,1.82152125,1.83875715,1.81368675,1.8191709,1.82152125,1421899,32988587.0,2,0.355475,1,-0.129035,0,-0.34258860918901324,1.0,0.022981403231548958,true,0.02774953689067905,true,0.03381807063866282,true
