date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,top10_ratio,decay,modified_turn,score,basket,average-5-periods-return,5-periods-winning,average-10-periods-return,10-periods-winning,average-20-periods-return,20-periods-winning
2018-09-12,sh.601869,42.098609,42.401542,41.309145,41.795675,41.915012,5996766,273740735.0,2,7.912291,1,-0.284715,0,0.0,1.0,7.912291,-0.481117225765528,0.0,-0.00417306336122103,false,-0.04019327358632219,false,-0.2361080662054149,false
2018-09-13,sh.601869,42.557599,43.319523,41.970091,42.952331,41.795675,9337586,434716039.0,2,12.320258,1,2.767411,0,0.0,1.0,12.320258,-0.26081070319628247,2.0,-0.046377436418991946,false,-0.05813207204051385,false,-0.23402436528997694,false
2018-09-14,sh.601869,42.943151,42.943151,40.941953,41.290785,42.952331,8004012,364790873.0,2,10.560705,1,-3.868351,0,0.0,1.0,10.560705,-0.4688096583326042,0.0,0.014006224391229116,true,-0.10871498325837103,false,-0.15206758602433934,false
2018-09-17,sh.601869,40.850155,40.850155,40.005612,40.299366,41.290785,4952951,218300597.0,2,6.535054,1,-2.401063,0,0.0,1.0,6.535054,-0.5389189142795323,0.0,0.030751699666937693,true,-0.09157176318853255,false,-0.16537585231489738,false
2018-09-18,sh.601869,39.978073,41.382583,39.803656,41.299965,40.299366,6048344,267543612.0,2,7.980345,1,2.482916,0,0.0,1.0,7.980345,-0.47429620765687747,0.0,0.01333630670147068,true,-0.10646810475505242,false,-0.19493219909508408,false
2018-09-19,sh.601869,41.098009,42.318924,40.556401,41.621259,41.299965,7626283,344636162.0,2,10.062319,1,0.777947,0,0.0,1.0,10.062319,-0.3773548506300611,1.0,-0.03617115474570354,false,-0.20202911209389418,false,-0.2256285904277907,false
2018-09-20,sh.601869,41.501921,42.190407,40.951132,40.960312,41.621259,5468248,247203230.0,2,7.214951,1,-1.588004,0,0.0,1.0,7.214951,-0.45410073243372695,0.0,-0.012326297709841616,false,-0.2048408713293004,false,-0.16181085241733506,false
2018-09-21,sh.601869,40.987852,42.116968,40.59312,41.869113,40.960312,7042956,317777617.0,2,9.292662,1,2.21874,0,0.0,1.0,9.292662,-0.2976774365796693,2.0,-0.12102608908863188,false,-0.22144266586206407,false,-0.20302565282431462,false
2018-09-25,sh.601869,41.290785,42.03435,41.180628,41.53864,41.869113,4643596,210145506.0,2,6.126883,1,-0.789302,0,0.0,1.0,6.126883,-0.4056312354638668,0.0,-0.1186740345856292,false,-0.209944740607781,false,-0.19403314600574317,false
2018-09-26,sh.601869,41.557,42.098609,41.53864,41.850754,41.53864,6118606,279026556.0,2,8.07305,1,0.751382,0,0.0,1.0,8.07305,-0.20581942030597117,2.0,-0.11822769071257355,false,-0.20157930726887274,false,-0.18732178636494823,false
2018-09-27,sh.601869,41.850754,41.850754,40.11577,40.11577,41.850754,7600432,338236867.0,2,10.028211,1,-4.145645,0,0.0,1.0,10.028211,-0.5072575612449433,0.0,-0.1720823755844646,false,-0.20411900357390622,false,-0.14256293721895397,false
2018-09-28,sh.601869,40.326905,40.739997,40.308546,40.455423,40.11577,3481037,153568931.0,2,4.592972,1,0.84668,0,0.0,1.0,4.592972,-0.40747961191514775,0.0,-0.19491718081899678,false,-0.18674836251248694,false,-0.1234399897388293,false
2018-10-08,sh.601869,39.005013,39.014193,36.535644,36.801858,40.455423,7081449,291970789.0,2,9.343451,1,-9.031086,0,0.0,1.0,9.343451,-0.6348998792706219,0.0,-0.114242954798641,false,-0.04864056048474519,false,-0.03916188144631183,false
2018-10-09,sh.601869,36.893656,37.407726,36.379587,36.609082,36.801858,4033469,161554242.0,2,5.321865,1,-0.523819,0,0.0,1.0,5.321865,-0.5902687019216388,0.0,-0.10356066836092748,false,-0.08124371979608769,false,-0.05917752867990511,false
2018-10-10,sh.601869,36.71924,37.040533,36.287789,36.902836,36.609082,3584539,143450363.0,2,4.729535,1,0.802406,0,0.0,1.0,4.729535,-0.5963936170705664,0.0,-0.09452736911602144,false,-0.09900496536363768,false,-0.047761180197641195,false
2018-10-11,sh.601869,34.433467,35.057694,33.212553,33.212553,36.902836,7039746,259984287.0,2,9.288427,1,-10.0,0,0.0,1.0,9.288427,-0.6080000000000001,0.0,-0.03869542940586357,false,-0.029574360031883073,false,0.041735755754759296,true
2018-10-12,sh.601869,32.588326,32.86372,30.93596,32.569966,33.212553,6804428,237766046.0,2,8.977942,1,-1.934773,0,0.0,1.0,8.977942,-0.6080000000000001,0.0,0.010146556493181302,true,0.054114978198012365,true,0.11555805738329594,true
2018-10-15,sh.601869,32.781102,33.83678,32.551606,32.597505,32.569966,5170891,187000228.0,2,6.82261,1,0.084551,0,0.0,1.0,6.82261,-0.538,0.0,0.0740636438279556,true,0.02365530736171384,true,0.1334835288774403,true
2018-10-16,sh.601869,32.698483,33.010597,31.808042,32.817821,32.597505,4913651,174096903.0,2,6.483201,1,0.675871,0,0.0,1.0,6.483201,-0.538,0.0,0.024895101963046118,true,0.02013985023563869,true,0.1163636366960501,true
2018-10-17,sh.601869,33.653183,33.80006,32.35883,33.414508,32.817821,5081276,183856437.0,2,6.70437,1,1.818186,0,0.0,1.0,6.70437,-0.538,0.0,-0.004945037646521655,false,0.017857153545400184,true,0.10219782377163833,true
2018-10-18,sh.601869,33.038136,33.038136,31.771322,31.927379,33.414508,4357620,153325460.0,2,5.749559,1,-4.450557,0,0.0,1.0,5.749559,-0.538,0.0,0.009488220126055547,true,0.0773433046289207,true,0.17136286069708406,true
2018-10-19,sh.601869,31.027758,33.019777,30.798263,32.900439,31.927379,5426511,190761831.0,2,7.159882,1,3.047733,0,0.0,1.0,7.159882,-0.41800000000000004,0.0,0.04352677482510203,true,0.07784598254144881,true,0.12611606793453412,true
2018-10-22,sh.601869,32.955518,35.406527,32.955518,35.011795,32.900439,9083270,339755559.0,2,11.984706,1,6.417408,0,0.0,1.0,11.984706,-0.39402348997790826,1.0,-0.04693235522486061,false,0.009963299510922008,true,0.04404824145691477,true
2018-10-23,sh.601869,34.754761,34.80984,33.460407,33.634824,35.011795,6826369,253683624.0,2,9.006891,1,-3.932879,0,0.0,1.0,9.006891,-0.4363488999355767,0.0,-0.004639744807346191,false,0.02401745880995243,true,0.051037103687535224,true
2018-10-24,sh.601869,33.212553,34.057095,33.148294,33.249272,33.634824,4159859,152268575.0,2,5.488628,1,-1.146283,0,0.0,1.0,5.488628,-0.44799999999999995,0.0,0.022915509247841692,true,0.056874658789521915,true,0.06791826900751397,true
2018-10-25,sh.601869,31.486748,32.459808,31.238893,32.230313,33.249272,5373066,185985425.0,2,7.089365,1,-3.064607,0,0.0,1.0,7.089365,-0.44799999999999995,0.0,0.06721731185173407,true,0.07348333849565769,true,0.14212474449131163,true
2018-10-26,sh.601869,32.716843,34.77312,32.478168,34.332489,32.230313,9983674,367011463.0,2,13.172723,1,6.52236,0,0.0,1.0,13.172723,-0.32799999999999996,1.0,0.032887711694890465,true,0.05828878296589557,true,0.021390380406151044,true
