date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,top10_ratio,decay,modified_turn,score,basket,average-5-periods-return,5-periods-winning,average-10-periods-return,10-periods-winning,average-20-periods-return,20-periods-winning,score_raw,basket_raw,average-5-periods-return_raw,5-periods-winning_raw,average-10-periods-return_raw,10-periods-winning_raw,average-20-periods-return_raw,20-periods-winning_raw,score_adj,basket_adj,average-5-periods-return_adj,5-periods-winning_adj,average-10-periods-return_adj,10-periods-winning_adj,average-20-periods-return_adj,20-periods-winning_adj
2023-09-08,sz.002384,17.802378,17.83182,17.380381,17.498148,17.763123,27714060,494739016.8,2,1.9934,1,-1.4917,0,23.549,1.232122,2.456112,-0.4724929134413616,1.0,0.0011217187098886,True,-0.0123387343620593,False,0.029164343563673,True,-0.4724929134413616,1.0,0.0011217187098886416,true,-0.012338734362059345,false,0.029164343563673034,true,-0.48383391371263373,1.0,0.0011217187098886416,true,-0.012338734362059345,false,0.029164343563673034,true
2023-09-11,sz.002384,17.507962,17.861262,17.164476,17.65517,17.498148,23840708,425987956.98,2,1.7148,1,0.8974,0,23.549,1.232122,2.112843,-0.4618525330897911,1.0,-0.0027792992081072,False,-0.0377987864178028,False,0.0005558711697482,True,-0.46185253308979113,1.0,-0.0027792992081072665,false,-0.037798786417802877,false,0.0005558711697482011,true,-0.4742746054217186,1.0,-0.0027792992081072665,false,-0.037798786417802877,false,0.0005558711697482011,true
2023-09-12,sz.002384,17.812192,18.636558,17.615915,18.548233,17.65517,50165626,933660817.6,2,3.6083,1,5.0584,0,23.549,1.232122,4.445866,-0.3191005802016072,1.0,-0.0698412619681884,False,-0.100529090830377,False,-0.0682539409549146,False,-0.31910058020160725,1.0,-0.0698412619681884,false,-0.10052909083037709,false,-0.06825394095491466,false,-0.3335211743913116,1.0,-0.0698412619681884,false,-0.10052909083037709,false,-0.06825394095491466,false
2023-09-13,sz.002384,18.420653,18.420653,17.390195,17.645356,18.548233,51698802,932797953.83,2,3.7186,1,-4.8677,0,23.549,1.232122,4.581769,-0.4782685220668619,1.0,-0.0350389076876658,False,-0.0439376796931725,False,-0.0406006543591412,False,-0.4782685220668619,1.0,-0.03503890768766582,false,-0.04393767969317253,false,-0.040600654359141286,false,-0.4924661436754306,1.0,-0.03503890768766582,false,-0.04393767969317253,false,-0.040600654359141286,false
2023-09-14,sz.002384,17.684612,17.880889,17.498148,17.635542,17.645356,22705029,408691892.94,2,1.6331,1,-0.0556,0,23.549,1.232122,2.012178,-0.4708544664388059,1.0,-0.0467445797809901,False,-0.0350584064839061,False,-0.0762381445378883,False,-0.4708544664388059,1.0,-0.046744579780990114,false,-0.035058406483906124,false,-0.07623814453788835,false,-0.483801520566025,1.0,-0.046744579780990114,false,-0.035058406483906124,false,-0.07623814453788835,false
2023-09-15,sz.002384,17.635542,17.83182,17.331312,17.517776,17.635542,21217533,379532545.78,2,1.5261,1,-0.6678,0,23.549,1.232122,1.880341,-0.4759743368973895,1.0,-0.0134453711475703,False,-0.0117647354321691,False,-0.0896358647353409,False,-0.47597433689738955,1.0,-0.013445371147570384,false,-0.01176473543216916,false,-0.08963586473534091,false,-0.4880363501580346,1.0,-0.013445371147570384,false,-0.01176473543216916,false,-0.08963586473534091,false
2023-09-18,sz.002384,17.370568,18.155678,17.242987,17.606101,17.517776,32316286,586155842.78,2,2.3245,1,0.5042,0,23.549,1.232122,2.864068,-0.4566641434467169,1.0,-0.0351170881048563,False,-0.0133779193928286,False,-0.0752508462833422,False,-0.4566641434467169,1.0,-0.035117088104856364,false,-0.013377919392828619,false,-0.07525084628334222,false,-0.46713875121067916,1.0,-0.035117088104856364,false,-0.013377919392828619,false,-0.07525084628334222,false
2023-09-19,sz.002384,17.606101,17.615915,17.144848,17.252801,17.606101,23097208,406596982.66,2,1.6613,1,-2.0067,0,23.549,1.232122,2.046924,-0.4490535510703246,1.0,-0.0329920341630324,False,0.0381114927367445,True,-0.0085324116356527,False,-0.44905355107032463,1.0,-0.032992034163032424,false,0.03811149273674452,true,-0.00853241163565277,false,-0.45712445900736365,1.0,-0.032992034163032424,false,0.03811149273674452,true,-0.00853241163565277,false
2023-09-20,sz.002384,17.17429,17.370568,16.99764,17.027082,17.252801,18218578,318355848.32,2,1.3104,1,-1.3083,0,23.549,1.232122,1.614573,-0.4545365639331918,1.0,-0.0092218972105732,False,0.1043227489008393,True,0.0005763759169068,True,-0.45453656393319186,1.0,-0.009221897210573204,false,0.10432274890083937,true,0.0005763759169068461,true,-0.46230864114481085,1.0,-0.009221897210573204,false,0.10432274890083937,true,0.0005763759169068461,true
2023-09-21,sz.002384,16.919129,17.105593,16.781735,16.811176,17.027082,21186413,364642991.81,2,1.5239,1,-1.268,0,23.549,1.232122,1.877631,-0.4599965329365806,1.0,0.0122592256484614,True,0.1196731269722,True,0.0828955095110539,True,-0.4599965329365806,1.0,0.012259225648461491,true,0.1196731269722,true,0.08289550951105396,true,-0.468001428824094,1.0,0.012259225648461491,true,0.1196731269722,true,0.08289550951105396,true
