date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,top10_ratio,decay,modified_turn
2003-04-23,sh.600522,1.583485,1.598147,1.554161,1.558560,1.583485,1009180,10827969.000000,2,1.441686,1,-1.570000,0,0.000000,1.000000,1.441686
2003-04-24,sh.600522,1.558560,1.580553,1.510176,1.521905,1.558560,1315120,13801873.000000,2,1.878743,1,-2.350000,0,0.000000,1.000000,1.878743
2003-04-25,sh.600522,1.521905,1.539500,1.466190,1.476453,1.521905,1085650,11114305.000000,2,1.550929,1,-2.990000,0,0.000000,1.000000,1.550929
2003-04-28,sh.600522,1.466190,1.479386,1.332767,1.409009,1.476453,2896771,27219415.000000,2,4.138244,1,-4.570000,0,0.000000,1.000000,4.138244
2003-04-29,sh.600522,1.407542,1.407542,1.334233,1.344496,1.409009,2121103,19631221.000000,2,3.030147,1,-4.580000,0,0.000000,1.000000,3.030147
2003-04-30,sh.600522,1.344496,1.344496,1.344496,1.344496,1.344496,0,0.000000,2,,0,0.000000,0,,,
2003-05-12,sh.600522,1.341564,1.357692,1.249194,1.268254,1.344496,2034160,17946288.000000,2,2.905943,1,-5.670000,0,0.000000,1.000000,2.905943
2003-05-13,sh.600522,1.250660,1.341564,1.250660,1.337165,1.268254,2716366,24030811.000000,2,3.880523,1,5.430000,0,0.000000,1.000000,3.880523
2003-05-14,sh.600522,1.322503,1.370888,1.303443,1.360624,1.337165,2509840,22999799.000000,2,3.585486,1,1.750000,0,0.000000,1.000000,3.585486
2003-05-15,sh.600522,1.345962,1.461791,1.321037,1.432468,1.360624,4149794,39847842.000000,2,5.928277,1,5.280000,0,0.000000,1.000000,5.928277
2003-05-16,sh.600522,1.429535,1.429535,1.379685,1.397279,1.432468,1656664,15843511.000000,2,2.366663,1,-2.460000,0,0.000000,1.000000,2.366663
2003-05-19,sh.600522,1.407542,1.451528,1.403144,1.422204,1.397279,1342542,13092550.000000,2,1.917917,1,1.780000,0,0.000000,1.000000,1.917917
