date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,top10_ratio,decay,modified_turn,score_raw,basket_raw,average-5-periods-return_raw,5-periods-winning_raw,average-10-periods-return_raw,10-periods-winning_raw,average-20-periods-return_raw,20-periods-winning_raw,score_adj,basket_adj,average-5-periods-return_adj,5-periods-winning_adj,average-10-periods-return_adj,10-periods-winning_adj,average-20-periods-return_adj,20-periods-winning_adj
2019-08-19,sz.002281,26.452525,27.606817,26.260143,27.424054,26.096618,25587479,721058721.25,2,4.0708,1,5.0866,0,0.0,1.0,4.0708,0.09017448898478296,3.0,-0.008418084357622702,false,0.03191862151379943,true,0.07085232548039744,true,0.09017448898478296,3.0,-0.008418084357622702,false,0.03191862151379943,true,0.07085232548039744,true
2019-08-20,sz.002281,27.25091,27.491388,26.846908,27.010433,27.424054,16010803,451304449.45,2,2.5472,1,-1.5082,0,0.0,1.0,2.5472,0.16949778347727046,3.0,0.02314812946538103,true,0.07264955730254319,true,0.09259259190698654,true,0.16949778347727046,3.0,0.02314812946538103,true,0.07264955730254319,true,0.09259259190698654,true
2019-08-21,sz.002281,26.93348,27.193196,26.664145,27.077766,27.010433,10779018,301481965.75,2,1.7149,1,0.2493,0,0.0,1.0,1.7149,0.15715897983811944,3.0,0.019538207103200422,true,0.06785083378000967,true,0.10053288738812505,true,0.15715897983811944,3.0,0.019538207103200422,true,0.06785083378000967,true,0.10053288738812505,true
2019-08-22,sz.002281,27.154719,27.173958,26.548716,26.664145,27.077766,10732102,298814283.55,2,1.7074,1,-1.5275,0,0.0,1.0,1.7074,0.18453098905813253,3.0,0.02453103221573394,true,0.1392496552955289,true,0.10137084838084998,true,0.18453098905813253,3.0,0.02453103221573394,true,0.1392496552955289,true,0.10137084838084998,true
2019-08-23,sz.002281,26.693002,26.991195,26.086999,26.135095,26.664145,11125047,305176887.58,2,1.7699,1,-1.9841,0,0.0,1.0,1.7699,0.01931898429167591,3.0,0.05115937018786432,true,0.17629738862628952,true,0.11924915520682067,true,0.01931898429167591,3.0,0.05115937018786432,true,0.17629738862628952,true,0.11924915520682067,true
2019-08-26,sz.002281,25.509853,27.270149,25.509853,27.193196,26.135095,21642110,600847612.86,2,3.4431,1,4.0486,0,55.559,1.800089,6.197887,0.15648957013589115,3.0,0.04067914635705194,true,0.16059425306242048,true,0.10718074477159667,true,0.15494321275200815,3.0,0.04067914635705194,true,0.16059425306242048,true,0.10718074477159667,true
2019-08-27,sz.002281,27.279768,28.10701,26.93348,27.635674,27.193196,24612058,706085909.83,2,3.9156,1,1.6272,0,55.559,1.800089,7.04843,0.1851446971509893,3.0,0.0483814869143413,true,0.102680144511764,true,0.04281241702301153,true,0.18577899180030905,3.0,0.0483814869143413,true,0.102680144511764,true,0.04281241702301153,true
2019-08-28,sz.002281,27.510626,27.943486,27.222053,27.606817,27.635674,14655919,420772470.63,2,2.3317,1,-0.1044,0,55.559,1.800089,4.197268,0.12419981973883547,3.0,0.047386774071056514,true,0.09198604822859524,true,-0.0024390352571250773,false,0.12997807807883197,3.0,0.047386774071056514,true,0.09198604822859524,true,-0.0024390352571250773,false
2019-08-29,sz.002281,27.57796,27.856914,27.202815,27.318244,27.606817,12882153,367655657.21,2,2.0495,1,-1.0453,0,55.559,1.800089,3.689283,0.18304421512191976,3.0,0.11197183830703028,true,0.12464787268171418,true,0.017957742818315747,true,0.20386964133326263,3.0,0.11197183830703028,true,0.12464787268171418,true,0.017957742818315747,true
2019-08-30,sz.002281,27.587579,28.039676,27.029671,27.47215,27.318244,20105005,577835811.21,2,3.1986,1,0.5634,0,55.559,1.800089,5.757766,0.15406696304602316,3.0,0.11904761731426183,true,0.10994396143002994,true,-0.0042017097314916985,false,0.2201916931238454,3.0,0.11904761731426183,true,0.10994396143002994,true,-0.0042017097314916985,false
